departamento,ingreso,monto
Finanzas,Patentes,1083198.0
Finanzas,Impuesto Municipal sobre las Ventas,994542.0
Finanzas,Fondo Desarrollo Municipal,74779.0
Finanzas,Intereses y Recargos por Demoras en Patentes,41320.93
Finanzas,Arbitrios de Construccion,264500.0
Finanzas,Licencias y Permisos,17000.0
Finanzas,Compensacion AEE,0.0
Finanzas,Otros Ingresos Intergubernamentales,5696539.25
Finanzas,Permisos de Uso Parques y Recreos,5000.0
Finanzas,Otros Ingresos por Servicios,175000.0
Finanzas,Otros Ingresos por Servicios,85000.0
Finanzas,Multas,5000.0
Finanzas,Intereses Bancarios,35000.0
Finanzas,Ingresos Eventuales,500.0
Finanzas,Renta Locales y Propiedad Municipal,50000.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros Ingresos,20000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1686456.17
