departamento,ingreso,monto
Finanzas,Patentes,1319622.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,70000.0
Finanzas,Licencias y Permisos,6000.0
Finanzas,Compensacion AEE,313681.0
Finanzas,Otros Ingresos Intergubernamentales,4068032.63
Finanzas,Otros Recursos Financieros,0.0
Finanzas,Disposicion Derperdicios,40000.0
Finanzas,Otros Ingresos por Servicios,15000.0
Finanzas,Multas,6000.0
Finanzas,Intereses en Inversiones,5000.0
Finanzas,Otros Ingresos por Servicios,5000.0
Finanzas,Ingresos Eventuales,15000.0
Finanzas,Renta Locales y Propiedad Municipal,25000.0
Finanzas,Otros Ingresos,30000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),866127.76
Finanzas,Impuesto Municipal sobre las Ventas,276582.0
