departamento,ingreso,monto
Finanzas,Patentes,711028.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,810802.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,10000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,50000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,66955.0
Finanzas,Licencias y Permisos,7195.0
Finanzas,Compensacion AEE,322033.0
Finanzas,Otros Ingresos Intergubernamentales,2485851.13
Finanzas,Compensaciones Estatales,0.0
Finanzas,Disposicion Derperdicios,3000.0
Finanzas,Otros Ingresos por Servicios,10000.0
Finanzas,Multas,3000.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Ingresos Eventuales,500000.0
Finanzas,Renta Locales y Propiedad Municipal,20000.0
Finanzas,Otros Ingresos,2000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),3007380.0
