departamento,ingreso,monto
Finanzas,Otros Recursos Financieros,0.0
Finanzas,Patentes,201356.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1164223.0
Finanzas,Intereses y Recargos por Demoras en Patentes,4500.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,89658.0
Finanzas,Compensacion AEE,100206.66
Finanzas,Otros Ingresos Intergubernamentales,1723929.82
Finanzas,Compensaciones Estatales,0.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Ingresos por Servicios Transportacion,0.0
Finanzas,Multas,500.0
Finanzas,Intereses Bancarios,35750.0
Finanzas,Ingresos Eventuales,486995.75
Finanzas,Renta Locales y Propiedad Municipal,34428.0
Finanzas,Otros Ingresos,37398.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),543110.92
