departamento,ingreso,monto
Finanzas,Patentes,343563.0
Finanzas,Impuesto Municipal sobre las Ventas,241575.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Fondo Desarrollo Municipal,140000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,0.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,93906.0
Finanzas,Licencias y Permisos,0.0
Finanzas,Compensacion AEE,166981.0
Finanzas,Otros Ingresos Intergubernamentales,4687931.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Disposicion Derperdicios,0.0
Finanzas,Multas,1026.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,4546.0
Finanzas,Ingresos Eventuales,251380.0
Finanzas,Renta Locales y Propiedad Municipal,4950.0
Finanzas,Otros Ingresos,982311.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),872744.0
