departamento,ingreso,monto
Finanzas,Patentes,1337431.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,964746.0
Finanzas,Intereses y Recargos por Demoras en Patentes,100000.0
Finanzas,Arbitrios de Construccion,80000.0
Finanzas,Licencias y Permisos,1000.0
Finanzas,Compensacion AEE,422250.0
Finanzas,Otros Ingresos Intergubernamentales,4259156.0
Finanzas,Permisos de Uso Estadios y Coliseos,10000.0
Finanzas,Disposicion Derperdicios,2500.0
Finanzas,Ingresos por Servicios Transportacion,668500.0
Finanzas,Multas,10000.0
Finanzas,Intereses en Inversiones,11265.0
Finanzas,Intereses Bancarios,3000.0
Finanzas,Ingresos Eventuales,40000.0
Finanzas,Renta Locales y Propiedad Municipal,93019.0
Finanzas,Otros Ingresos,0.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2950987.0
Finanzas,Otros Ingresos,0.0
Contribucion,Otros Ingresos,21396.0
Recaudos e Ingresos,Otros IngresosTransferencias que,3500.0
Finanzas,Entran,0.0
